Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);
France [Europe];2004;Male;null;0.9;null;13.72531;0.9;0.51646;
Cameroon [Africa];2004;Both sexes;null;19.0;null;27.77629;18.7;2.90427;
Angola [Africa];2002;null;Not applicable;51.06;null;;;;
Ghana [Africa];2002;null;Not applicable;10.68;null;;;;
Philippines [Western Pacific];2004;Male;null;44.9;null;15.16633;12.6;0.30479;
Nicaragua [Americas];2004;Female;null;0.1;null;6.26167;0.3;0.20563;
Kazakhstan [Europe];2004;Both sexes;null;16.2;null;25.41637;28.5;4.8997;
Guyana [Americas];2004;Male;null;35.5;null;46.60104;19.3;0.49277;
Yemen [Eastern Mediterranean];2004;Male;null;5.5;null;29.18287;28.3;2.94025;
Israel [Europe];2004;Female;null;0.1;null;3.41934;0.1;0.03449;
Timor-Leste [South-East Asia];2004;Both sexes;null;16.3;null;15.33097;13.6;0.67267;
Panama [Americas];2002;null;Not applicable;9.72;null;;;;
Cambodia [Western Pacific];2004;Both sexes;null;21.6;null;17.60995;21.5;0.75445;
Mauritania [Africa];2002;null;Not applicable;15.47;null;;;;
Dominican Republic [Americas];2004;Female;null;0.2;null;13.39092;0.8;0.24768;
Georgia [Europe];2002;null;Not applicable;3.5;null;;;;
Honduras [Americas];2004;Both sexes;null;26.4;null;15.93587;10.7;0.4704;
Slovakia [Europe];2004;Male;null;2.5;null;23.39766;4.7;1.52395;
Iraq [Eastern Mediterranean];2004;Male;null;15.2;null;28.92388;38.0;0.41073;
Somalia [Eastern Mediterranean];2002;null;Not applicable;38.62;null;;;;
Gambia [Africa];2002;null;Not applicable;11.82;null;;;;
Republic of Korea [Western Pacific];2004;Male;null;2.1;null;23.77697;1.8;0.65095;
Algeria [Africa];2004;Both sexes;null;9.8;null;22.47634;17.1;1.03971;
Andorra [Europe];2004;Male;null;1.1;null;;0.8;;
Jordan [Eastern Mediterranean];2004;Both sexes;null;7.4;null;22.75887;10.7;1.04669;
Greece [Europe];2004;Female;null;0.0;null;7.93366;0.1;0.08803;
Comoros [Africa];2002;null;Not applicable;8.97;null;;;;
Lebanon [Eastern Mediterranean];2004;Female;null;0.0;null;7.3977;0.2;0.52973;
Eritrea [Africa];2002;null;Not applicable;9.64;null;;;;
Romania [Europe];2002;null;Not applicable;3.22;null;;;;
Andorra [Europe];2002;null;Not applicable;0.77;null;;;;
San Marino [Europe];2004;Both sexes;null;0.0;null;;;;
Saint Kitts and Nevis [Americas];2004;Both sexes;null;11.3;null;;4.0;;
Libya [Eastern Mediterranean];2004;Male;null;5.5;null;31.46175;7.8;1.25305;
Sudan [Eastern Mediterranean];2004;Female;null;1.9;null;15.98428;7.8;1.73203;
Bulgaria [Europe];2004;Both sexes;null;2.7;null;12.5119;4.0;0.94364;
United Republic of Tanzania [Africa];2002;null;Not applicable;30.11;null;;;;
Mauritius [Africa];2004;Female;null;0.0;null;6.08134;0.0;0.01644;
Republic of Moldova [Europe];2004;Both sexes;null;7.8;null;16.67482;1.8;8.96171;
Kyrgyzstan [Europe];2004;Male;null;15.1;null;28.58152;23.7;2.90213;
Costa Rica [Americas];2004;Female;null;0.0;null;5.25127;0.1;0.10524;
Kiribati [Western Pacific];2002;null;Not applicable;7.26;null;;;;
Tajikistan [Europe];2002;null;Not applicable;7.99;null;;;;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;null;71.3;null;45.34339;8.3;0.37405;
Equatorial Guinea [Africa];2004;Both sexes;null;28.3;null;19.75339;32.7;2.18978;
Libya [Eastern Mediterranean];2004;Female;null;0.0;null;10.29593;0.3;0.64065;
Portugal [Europe];2004;Female;null;0.0;null;8.40657;0.1;0.24086;
Uzbekistan [Europe];2002;null;Not applicable;4.49;null;;;;
Jamaica [Americas];2004;Female;null;0.2;null;7.63585;0.1;0.09474;
Australia [Western Pacific];2004;Male;null;1.8;null;11.88494;0.7;0.54543;
Sierra Leone [Africa];2004;Male;null;71.2;null;39.71984;38.9;4.2565;
Niger [Africa];2004;Female;null;0.4;null;20.10356;2.4;3.06691;
Samoa [Western Pacific];2004;Female;null;0.0;null;8.98502;0.0;0.26071;
Ireland [Europe];2004;Male;null;1.1;null;14.07599;2.0;0.66131;
Togo [Africa];2004;Male;null;27.0;null;42.37421;27.9;3.37567;
Chile [Americas];2002;null;Not applicable;5.59;null;;;;
Zimbabwe [Africa];2004;Female;null;0.7;null;10.56729;2.0;2.45284;
Switzerland [Europe];2004;Female;null;0.0;null;3.07229;0.0;0.03198;
Bahrain [Eastern Mediterranean];2004;Male;null;1.3;null;22.00928;2.8;0.30684;
Congo [Africa];2004;Female;null;0.1;null;20.90307;0.6;1.7121;
Uganda [Africa];2004;Female;null;1.3;null;15.60047;4.4;2.18972;
Brazil [Americas];2002;null;Not applicable;31.09;null;;;;
Denmark [Europe];2004;Female;null;0.0;null;4.00797;0.0;0.19563;
Belarus [Europe];2002;null;Not applicable;11.75;null;;;;
Zimbabwe [Africa];2004;Male;null;63.5;null;61.08033;26.1;3.09696;
Argentina [Americas];2004;Female;null;0.4;null;4.71731;1.4;0.38539;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;null;3.0;null;21.83665;3.9;0.44362;
Niue [Western Pacific];2004;Male;null;1.8;null;;2.2;;
Canada [Americas];2004;Female;null;0.1;null;5.36057;0.2;0.22385;
Burkina Faso [Africa];2002;null;Not applicable;17.13;null;;;;
Namibia [Africa];2004;Both sexes;null;15.8;null;22.01565;14.2;2.21431;
Niger [Africa];2004;Male;null;45.1;null;35.78974;16.4;4.85794;
Nauru [Western Pacific];2002;null;Not applicable;10.89;null;;;;
Cameroon [Africa];2002;null;Not applicable;12.96;null;;;;
Fiji [Western Pacific];2002;null;Not applicable;0.86;null;;;;
Monaco [Europe];2004;Male;null;1.2;null;;0.2;;
Spain [Europe];2004;Female;null;0.2;null;5.32613;0.1;0.26546;
Mongolia [Western Pacific];2004;Female;null;0.0;null;9.89851;0.2;2.81199;
Cook Islands [Western Pacific];2004;Male;null;1.6;null;;1.8;;
Bahrain [Eastern Mediterranean];2004;Both sexes;null;1.1;null;15.66556;2.7;0.22274;
Australia [Western Pacific];2002;null;Not applicable;1.44;null;;;;
Mauritius [Africa];2004;Male;null;4.2;null;24.85048;6.4;0.65972;
Vanuatu [Western Pacific];2004;Female;null;0.0;null;6.96786;0.0;0.28893;
Turkmenistan [Europe];2002;null;Not applicable;11.47;null;;;;
Estonia [Europe];2004;Both sexes;null;7.7;null;13.86067;2.3;1.52386;
Burundi [Africa];2002;null;Not applicable;23.44;null;;;;
Oman [Eastern Mediterranean];2002;null;Not applicable;2.09;null;;;;
Cuba [Americas];2004;Male;null;8.8;null;17.96453;1.1;0.40315;
Malawi [Africa];2004;Female;null;0.4;null;15.89246;2.0;1.96369;
Mexico [Americas];2004;Female;null;1.3;null;6.40305;4.5;0.44212;
Chile [Americas];2004;Female;null;0.1;null;6.44304;0.1;0.37497;
Turkey [Europe];2004;Female;null;0.4;null;3.94842;4.0;0.47929;
Belgium [Europe];2002;null;Not applicable;1.68;null;;;;
Saint Lucia [Americas];2002;null;Not applicable;7.34;null;;;;
Syrian Arab Republic [Eastern Mediterranean];2002;null;Not applicable;3.16;null;;;;
Turkey [Europe];2004;Male;null;4.7;null;9.76347;12.3;0.61017;
Lebanon [Eastern Mediterranean];2002;null;Not applicable;2.99;null;;;;
Dominica [Americas];2004;Both sexes;null;9.8;null;;11.4;;
C\u00f4te d'Ivoire [Africa];2004;Male;null;103.4;null;38.13876;50.1;3.78486;
Tonga [Western Pacific];2004;Female;null;0.0;null;6.039;0.0;1.16824;
Lesotho [Africa];2004;Female;null;0.1;null;11.07834;0.2;2.27923;
Saint Kitts and Nevis [Americas];2004;Male;null;23.2;null;;5.7;;
Iceland [Europe];2004;Both sexes;null;1.0;null;8.2563;0.9;0.17391;
Israel [Europe];2002;null;Not applicable;0.74;null;;;;
Italy [Europe];2004;Male;null;1.3;null;17.84777;1.4;0.42463;
Benin [Africa];2002;null;Not applicable;12.7;null;;;;
Hungary [Europe];2002;null;Not applicable;2.34;null;;;;
Peru [Americas];2004;Female;null;0.2;null;8.85896;1.0;0.48534;
Saudi Arabia [Eastern Mediterranean];2004;Male;null;4.0;null;32.06968;8.1;0.91443;
Mozambique [Africa];2002;null;Not applicable;11.96;null;;;;
Monaco [Europe];2002;null;Not applicable;0.95;null;;;;
Samoa [Western Pacific];2004;Both sexes;null;1.0;null;15.11784;1.7;0.55669;
Egypt [Eastern Mediterranean];2002;null;Not applicable;1.46;null;;;;
Democratic Republic of the Congo [Africa];2004;Both sexes;null;45.1;null;36.53988;29.5;2.19845;
Micronesia (Federated States of) [Western Pacific];2002;null;Not applicable;1.27;null;;;;
Morocco [Eastern Mediterranean];2002;null;Not applicable;1.32;null;;;;
Bolivia (Plurinational State of) [Americas];2004;Female;null;0.1;null;9.46104;1.0;0.81129;
Zambia [Africa];2004;Female;null;0.5;null;14.64108;2.0;3.2428;
Iceland [Europe];2002;null;Not applicable;0.58;null;;;;
Georgia [Europe];2004;Both sexes;null;3.4;null;15.54731;19.4;0.64831;
Portugal [Europe];2004;Both sexes;null;1.6;null;19.07186;1.9;0.25438;
Solomon Islands [Western Pacific];2004;Female;null;0.0;null;8.80996;0.1;0.08339;
Panama [Americas];2004;Female;null;0.0;null;4.46834;0.2;0.31247;
United States of America [Americas];2002;null;Not applicable;5.67;null;;;;
Solomon Islands [Western Pacific];2004;Male;null;1.7;null;27.39856;18.6;3.65262;
Latvia [Europe];2004;Female;null;0.1;null;11.99932;0.0;2.34617;
Viet Nam [Western Pacific];2004;Male;null;6.8;null;39.72448;9.7;1.90387;
Equatorial Guinea [Africa];2004;Female;null;0.0;null;15.84807;0.1;1.69126;
Afghanistan [Eastern Mediterranean];2004;Male;null;6.5;null;22.76968;25.8;0.86953;
Lebanon [Eastern Mediterranean];2004;Male;null;4.4;null;27.36737;12.9;0.74078;
Bulgaria [Europe];2004;Male;null;4.2;null;19.61466;4.5;1.4525;
Sierra Leone [Africa];2004;Female;null;0.3;null;22.88705;1.6;2.55222;
Djibouti [Eastern Mediterranean];2004;Male;null;7.1;null;38.82595;25.5;3.08187;
Bosnia and Herzegovina [Europe];2004;Male;null;2.9;null;27.61249;2.6;0.57042;
Lesotho [Africa];2004;Both sexes;null;16.2;null;27.19549;14.4;2.95597;
Myanmar [South-East Asia];2004;Male;null;28.0;null;28.24034;31.8;2.51533;
Iran (Islamic Republic of) [Eastern Mediterranean];2002;null;Not applicable;5.05;null;;;;
Argentina [Americas];2002;null;Not applicable;8.85;null;;;;
Mongolia [Western Pacific];2004;Male;null;5.9;null;32.33728;16.9;6.52247;
Tonga [Western Pacific];2004;Male;null;1.1;null;19.81858;1.8;1.84669;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Male;null;4.4;null;58.58875;15.5;2.06616;
Guinea [Africa];2004;Both sexes;null;20.5;null;30.57453;24.5;2.80298;
Bahamas [Americas];2004;Both sexes;null;22.4;null;15.98431;1.9;0.22496;
Kiribati [Western Pacific];2004;Female;null;0.0;null;6.2593;;1.40942;
Guinea [Africa];2002;null;Not applicable;29.6;null;;;;
New Zealand [Western Pacific];2004;Male;null;1.9;null;15.49139;2.9;0.4636;
Paraguay [Americas];2004;Male;null;35.9;null;18.94195;9.2;0.30738;
Botswana [Africa];2004;Male;null;38.9;null;47.66716;35.3;3.24565;
Armenia [Europe];2004;Both sexes;null;3.2;null;18.46227;13.8;1.12457;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;null;3.1;null;23.03234;7.4;0.80291;
United Kingdom of Great Britain and Northern Ireland [Europe];2002;null;Not applicable;1.15;null;;;;
Brazil [Americas];2004;Male;null;55.6;null;36.33449;11.8;0.14281;
Djibouti [Eastern Mediterranean];2004;Female;null;0.0;null;16.38544;0.1;1.96529;
Dominica [Americas];2002;null;Not applicable;4.58;null;;;;
France [Europe];2004;Female;null;0.2;null;4.39173;0.1;0.33458;
Russian Federation [Europe];2004;Female;null;10.1;null;15.10987;1.3;3.82872;
Namibia [Africa];2004;Male;null;26.6;null;35.81493;15.9;2.81055;
Turkey [Europe];2002;null;Not applicable;3.67;null;;;;
Nauru [Western Pacific];2004;Male;null;4.4;null;;;;
United States of America [Americas];2004;Both sexes;null;6.2;null;15.78819;3.1;0.36836;
Russian Federation [Europe];2002;null;Not applicable;29.64;null;;;;
Bhutan [South-East Asia];2004;Female;null;0.0;null;8.48353;0.0;0.38422;
Malaysia [Western Pacific];2004;Female;null;0.3;null;9.19477;0.6;0.37291;
Senegal [Africa];2004;Female;null;0.4;null;15.64488;2.0;2.30878;
Guyana [Americas];2004;Both sexes;null;23.8;null;29.09873;22.3;0.32769;
Democratic Republic of the Congo [Africa];2002;null;Not applicable;27.34;null;;;;
Kuwait [Eastern Mediterranean];2002;null;Not applicable;1.26;null;;;;
Burundi [Africa];2004;Female;null;0.3;null;18.21865;1.6;1.83369;
Nicaragua [Americas];2004;Male;null;31.4;null;25.70578;10.9;0.56041;
Azerbaijan [Europe];2004;Male;null;4.8;null;17.10014;25.5;1.3515;
Ethiopia [Africa];2004;Both sexes;null;25.7;null;24.82102;15.9;6.41658;
Greece [Europe];2002;null;Not applicable;1.01;null;;;;
Mexico [Americas];2004;Male;null;17.8;null;23.88006;10.3;1.01904;
Kazakhstan [Europe];2004;Male;null;25.0;null;39.42599;33.3;7.58575;
Cuba [Americas];2002;null;Not applicable;4.99;null;;;;
Sweden [Europe];2002;null;Not applicable;1.0;null;;;;
Sudan [Eastern Mediterranean];2004;Both sexes;null;31.0;null;25.65351;26.3;2.18737;
Mauritius [Africa];2002;null;Not applicable;2.6;null;;;;
Luxembourg [Europe];2004;Male;null;1.1;null;15.86347;3.0;0.98522;
Niger [Africa];2004;Both sexes;null;26.9;null;27.90663;16.8;3.95786;
Maldives [South-East Asia];2002;null;Not applicable;11.23;null;;;;
Bangladesh [South-East Asia];2004;Female;null;3.2;null;7.39371;20.4;0.2241;
Kazakhstan [Europe];2002;null;Not applicable;19.89;null;;;;
Nigeria [Africa];2004;Female;null;5.3;null;17.45819;33.9;2.5739;
Ireland [Europe];2002;null;Not applicable;1.02;null;;;;
Mozambique [Africa];2004;Both sexes;null;25.6;null;33.10305;19.9;3.97912;
Saudi Arabia [Eastern Mediterranean];2004;Female;null;0.2;null;11.79006;1.0;0.66418;
France [Europe];2004;Both sexes;null;0.8;null;8.91134;0.8;0.42265;
Madagascar [Africa];2004;Both sexes;null;14.6;null;26.40567;26.1;3.364;
Uzbekistan [Europe];2004;Female;null;0.2;null;5.56797;2.7;0.64912;
Saint Lucia [Americas];2004;Both sexes;null;22.4;null;20.3929;10.6;0.19972;
Grenada [Americas];2004;Both sexes;null;4.7;null;1.9167;7.2;0.35928;
New Zealand [Western Pacific];2004;Both sexes;null;1.4;null;11.19982;2.5;0.28569;
Yemen [Eastern Mediterranean];2004;Both sexes;null;3.2;null;22.38986;25.7;2.40419;
Papua New Guinea [Western Pacific];2004;Female;null;0.1;null;8.64752;0.7;0.36878;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;null;0.8;null;4.68938;;1.10991;
Sri Lanka [South-East Asia];2004;Female;null;0.2;null;5.43329;0.5;0.5981;
Solomon Islands [Western Pacific];2002;null;Not applicable;1.47;null;;;;
Norway [Europe];2004;Both sexes;null;0.8;null;6.28505;0.3;0.42224;
Uganda [Africa];2004;Both sexes;null;33.1;null;32.43318;15.9;3.09089;
Mozambique [Africa];2004;Male;null;43.8;null;49.5206;20.4;5.48088;
El Salvador [Americas];2002;null;Not applicable;42.39;null;;;;
Equatorial Guinea [Africa];2004;Male;null;46.4;null;23.24278;36.4;2.6352;
Germany [Europe];2004;Both sexes;null;0.7;null;7.47858;2.4;0.1127;
Bahamas [Americas];2004;Male;null;36.4;null;25.32702;2.0;0.32569;
Saudi Arabia [Eastern Mediterranean];2002;null;Not applicable;2.85;null;;;;
Luxembourg [Europe];2004;Both sexes;null;1.2;null;11.50896;2.7;0.83103;
Cabo Verde [Africa];2004;Female;null;0.0;null;10.48447;0.0;0.26604;
Sri Lanka [South-East Asia];2004;Male;null;12.1;null;24.16814;8.4;1.06603;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;null;0.1;null;11.32353;0.4;0.46804;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;null;2.8;null;39.01015;14.6;1.60623;
Malawi [Africa];2002;null;Not applicable;11.45;null;;;;
Belgium [Europe];2004;Male;null;1.8;null;18.04865;1.1;0.56763;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;null;18.6;null;22.73761;14.1;1.27229;
Ecuador [Americas];2002;null;Not applicable;24.77;null;;;;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;null;0.6;null;10.97749;1.1;0.14188;
Burkina Faso [Africa];2004;Both sexes;null;22.5;null;29.06241;16.2;3.23507;
Pakistan [Eastern Mediterranean];2004;Female;null;2.4;null;14.07675;21.6;2.46627;
Pakistan [Eastern Mediterranean];2004;Male;null;6.1;null;14.68023;20.8;2.29778;
Estonia [Europe];2002;null;Not applicable;14.17;null;;;;
Singapore [Western Pacific];2004;Male;null;1.9;null;9.80692;1.3;0.03873;
Cyprus [Europe];2004;Male;null;0.3;null;22.78492;1.0;0.00483;
Algeria [Africa];2004;Male;null;13.8;null;30.74035;17.5;1.29219;
Brunei Darussalam [Western Pacific];2004;Male;null;1.2;null;18.29818;5.3;0.40005;
Cyprus [Europe];2004;Both sexes;null;0.2;null;14.58558;0.9;0.00335;
Somalia [Eastern Mediterranean];2004;Male;null;2.4;null;39.54039;22.8;7.08921;
Rwanda [Africa];2002;null;Not applicable;25.39;null;;;;
Gabon [Africa];2004;Female;null;0.0;null;15.96725;0.2;1.17735;
Burundi [Africa];2004;Both sexes;null;44.8;null;29.7097;21.8;2.55137;
Bolivia (Plurinational State of) [Americas];2002;null;Not applicable;4.74;null;;;;
Hungary [Europe];2004;Both sexes;null;1.9;null;15.15649;5.5;1.05542;
Panama [Americas];2004;Both sexes;null;12.3;null;13.88653;9.0;0.48745;
Brunei Darussalam [Western Pacific];2004;Female;null;0.0;null;6.52581;0.0;0.1384;
Albania [Europe];2004;Female;null;0.0;null;6.2676;0.1;0.38075;
Botswana [Africa];2002;null;Not applicable;7.34;null;;;;
Mali [Africa];2004;Female;null;0.4;null;19.63004;3.3;3.36258;
Czechia [Europe];2004;Both sexes;null;1.2;null;13.91677;2.2;0.97895;
Zambia [Africa];2004;Male;null;51.7;null;37.42938;23.0;5.12752;
Andorra [Europe];2004;Female;null;0.0;null;;0.0;;
Slovenia [Europe];2004;Both sexes;null;1.9;null;14.37023;2.1;0.6548;
China [Western Pacific];2002;null;Not applicable;2.84;null;;;;
Sri Lanka [South-East Asia];2002;null;Not applicable;7.81;null;;;;
Eritrea [Africa];2004;Male;null;34.6;null;50.16723;13.3;5.65592;
Ukraine [Europe];2002;null;Not applicable;13.92;null;;;;
Papua New Guinea [Western Pacific];2004;Male;null;32.2;null;26.36715;16.9;2.2211;
Kyrgyzstan [Europe];2004;Both sexes;null;9.8;null;18.71405;21.5;2.06065;
Morocco [Eastern Mediterranean];2004;Both sexes;null;1.2;null;23.76209;12.3;1.06345;
Slovakia [Europe];2004;Female;null;0.0;null;6.02914;0.1;0.39558;
Pakistan [Eastern Mediterranean];2002;null;Not applicable;5.61;null;;;;
Denmark [Europe];2002;null;Not applicable;1.06;null;;;;
Grenada [Americas];2002;null;Not applicable;4.57;null;;;;
Kazakhstan [Europe];2004;Female;null;0.7;null;12.41466;1.5;2.40691;
Saint Vincent and the Grenadines [Americas];2002;null;Not applicable;14.58;null;;;;
Guatemala [Americas];2002;null;Not applicable;47.8;null;;;;
Ukraine [Europe];2004;Female;null;1.8;null;8.93404;0.6;2.63292;
United States of America [Americas];2004;Female;null;3.9;null;9.92901;3.1;0.26885;
Mali [Africa];2004;Male;null;41.6;null;29.35104;34.6;3.91746;
Afghanistan [Eastern Mediterranean];2002;null;Not applicable;4.65;null;;;;
Suriname [Americas];2004;Female;null;0.0;null;11.84002;0.0;0.25621;
Bangladesh [South-East Asia];2004;Male;null;13.8;null;24.87487;22.1;0.28276;
Hungary [Europe];2004;Female;null;0.1;null;7.00783;0.1;0.52577;
Kuwait [Eastern Mediterranean];2004;Both sexes;null;1.2;null;25.44878;5.3;0.50917;
Belarus [Europe];2004;Female;null;0.3;null;10.82815;0.0;2.97925;
Ethiopia [Africa];2004;Female;null;2.6;null;16.33695;10.4;3.79743;
Viet Nam [Western Pacific];2004;Female;null;0.7;null;10.3208;3.9;0.36117;
Oman [Eastern Mediterranean];2004;Male;null;2.4;null;38.93947;3.6;2.29606;
Liberia [Africa];2004;Male;null;37.2;null;48.82778;49.3;3.1083;
Guatemala [Americas];2004;Female;null;0.6;null;1.80171;1.1;0.85721;
Samoa [Western Pacific];2004;Male;null;1.9;null;20.80581;1.9;0.83119;
Barbados [Americas];2004;Both sexes;null;14.5;null;16.71008;8.1;0.10643;
Republic of Moldova [Europe];2002;null;Not applicable;11.85;null;;;;
Central African Republic [Africa];2004;Both sexes;null;36.0;null;33.64879;24.4;3.47928;
Malawi [Africa];2004;Both sexes;null;25.1;null;32.92373;17.1;2.75343;
